Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Retail Sales People,Product ID,Location ID,Returned,Sales,Quantity,Discount,Profit
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Kelly Williams,FUR-CH-10001146,IL-Chicago-60610,Not,213.12,5,0.3,-15.22
68,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,Anna Andreadi,OFF-AR-10002671,AZ-Gilbert-85234,Not,1113.02,8,0.2,111.3
69,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,Anna Andreadi,TEC-PH-10002726,AZ-Gilbert-85234,Not,167.97,4,0.2,62.99
70,CA-2016-119823,4/6/2016,6/6/2016,First Class,KD-16270,Cassandra Brandow,OFF-PA-10000482,VA-Springfield-22153,Not,75.88,2,0.0,35.66
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Chuck Magee,OFF-BI-10004654,NY-New York City-10009,Not,4.62,1,0.2,1.73
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Kelly Williams,OFF-PA-10004675,MI-Jackson-49201,Not,19.05,3,0.0,8.76
73,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Cassandra Brandow,FUR-CH-10000513,TN-Memphis-38109,Not,831.94,8,0.2,-114.39
74,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Cassandra Brandow,FUR-FU-10003708,TN-Memphis-38109,Not,97.04,2,0.2,1.21
75,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Cassandra Brandow,OFF-ST-10004123,TN-Memphis-38109,Not,72.78,1,0.2,-18.2
76,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Kelly Williams,OFF-BI-10004182,TX-Houston-77041,Not,1.25,3,0.8,-1.93
77,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Kelly Williams,FUR-FU-10000260,TX-Houston-77041,Not,9.71,3,0.6,-5.82
78,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Kelly Williams,OFF-ST-10000615,TX-Houston-77041,Not,27.24,3,0.2,2.72
79,US-2014-147606,11/26/2014,11/26/2014,Second Class,JE-15745,Kelly Williams,FUR-FU-10003194,TX-Houston-77070,Not,19.3,5,0.6,-14.48
80,CA-2016-127208,12/6/2016,12/6/2016,First Class,SC-20770,Cassandra Brandow,OFF-AP-10002118,AL-Decatur-35601,Not,208.16,1,0.0,56.2
81,CA-2016-127208,12/6/2016,12/6/2016,First Class,SC-20770,Cassandra Brandow,OFF-BI-10002309,AL-Decatur-35601,Not,16.74,3,0.0,8.04
82,CA-2014-139451,12/10/2014,12/10/2014,Standard Class,DN-13690,Anna Andreadi,OFF-AR-10002053,CA-San Francisco-94122,Not,14.9,5,0.0,4.17
83,CA-2014-139451,12/10/2014,12/10/2014,Standard Class,DN-13690,Anna Andreadi,OFF-ST-10002370,CA-San Francisco-94122,Not,21.39,1,0.0,6.2
84,CA-2015-149734,3/9/2015,8/9/2015,Standard Class,JC-16105,Cassandra Brandow,OFF-EN-10000927,NC-Durham-27707,Not,200.98,7,0.2,62.81
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Kelly Williams,OFF-ST-10003656,IL-Chicago-60623,Not,230.38,3,0.2,-48.95
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Cassandra Brandow,FUR-CH-10000863,SC-Columbia-29203,Not,301.96,2,0.0,33.22
87,CA-2017-155558,10/26/2017,10/26/2017,Standard Class,PG-18895,Kelly Williams,TEC-AC-10001998,MN-Rochester-55901,Not,19.99,1,0.0,6.8
88,CA-2017-155558,10/26/2017,10/26/2017,Standard Class,PG-18895,Kelly Williams,OFF-LA-10000134,MN-Rochester-55901,Not,6.16,2,0.0,2.96
89,CA-2016-159695,5/4/2016,10/4/2016,Second Class,GM-14455,Kelly Williams,OFF-ST-10003442,TX-Houston-77095,Not,158.37,7,0.2,13.86
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Anna Andreadi,OFF-AR-10004930,CA-Los Angeles-90036,Yes,20.1,3,0.0,6.63
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Anna Andreadi,TEC-PH-10004093,CA-Los Angeles-90036,Yes,73.58,2,0.2,8.28
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Anna Andreadi,OFF-PA-10000304,CA-Los Angeles-90036,Yes,6.48,1,0.0,3.11
93,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Kelly Williams,OFF-PA-10003177,MN-Minneapolis-55407,Not,12.96,2,0.0,6.22
94,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Kelly Williams,FUR-FU-10003799,MN-Minneapolis-55407,Not,53.34,3,0.0,16.54
95,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Kelly Williams,OFF-BI-10002852,MN-Minneapolis-55407,Not,32.96,2,0.0,16.15
96,US-2017-109484,6/11/2017,12/11/2017,Standard Class,RB-19705,Anna Andreadi,OFF-BI-10004738,OR-Portland-97206,Not,5.68,1,0.7,-3.79
97,CA-2017-161018,9/11/2017,11/11/2017,Second Class,PN-18775,Chuck Magee,FUR-FU-10000629,NY-New York City-10009,Not,96.53,7,0.0,40.54
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Anna Andreadi,OFF-BI-10001721,CA-San Francisco-94122,Not,51.31,3,0.2,17.96
99,CA-2016-149223,6/9/2016,11/9/2016,Standard Class,ER-13855,Kelly Williams,OFF-AP-10000358,MN-Saint Paul-55106,Not,77.88,6,0.0,22.59
100,CA-2016-158568,8/29/2016,8/29/2016,Standard Class,RB-19465,Kelly Williams,OFF-PA-10003256,IL-Chicago-60610,Not,64.62,7,0.2,22.62
101,CA-2016-158568,8/29/2016,8/29/2016,Standard Class,RB-19465,Kelly Williams,TEC-AC-10001767,IL-Chicago-60610,Not,95.98,3,0.2,-10.8
102,CA-2016-158568,8/29/2016,8/29/2016,Standard Class,RB-19465,Kelly Williams,OFF-BI-10002609,IL-Chicago-60610,Not,1.79,3,0.8,-3.04
103,CA-2016-129903,1/12/2016,4/12/2016,Second Class,GZ-14470,Kelly Williams,OFF-PA-10004040,MN-Rochester-55901,Not,23.92,4,0.0,11.72
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Anna Andreadi,TEC-AC-10001552,CO-Aurora-80013,Not,238.9,6,0.2,-26.88
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Anna Andreadi,FUR-FU-10004006,CO-Aurora-80013,Not,102.36,3,0.2,-3.84
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Anna Andreadi,OFF-BI-10002794,CO-Aurora-80013,Not,36.88,3,0.7,-25.82
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Cassandra Brandow,TEC-AC-10003499,NC-Charlotte-28205,Not,74.11,8,0.2,17.6
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Cassandra Brandow,TEC-PH-10002844,NC-Charlotte-28205,Not,27.99,1,0.2,2.1
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Cassandra Brandow,OFF-AR-10000390,NC-Charlotte-28205,Not,3.3,1,0.2,1.07
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Kelly Williams,TEC-AC-10000844,IL-Orland Park-60462,Not,339.96,5,0.2,67.99
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Chuck Magee,FUR-FU-10001934,NY-New York City-10035,Not,41.96,2,0.0,10.91
112,CA-2016-128867,3/11/2016,10/11/2016,Standard Class,CL-12565,Kelly Williams,OFF-AR-10000380,IA-Urbandale-50322,Not,75.96,2,0.0,22.79
113,CA-2016-128867,3/11/2016,10/11/2016,Standard Class,CL-12565,Kelly Williams,OFF-BI-10003981,IA-Urbandale-50322,Not,27.24,6,0.0,13.35
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Chuck Magee,OFF-FA-10000621,OH-Columbus-43229,Not,40.1,14,0.2,14.53
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Chuck Magee,OFF-EN-10002600,OH-Columbus-43229,Not,4.72,2,0.2,1.65
116,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Chuck Magee,OFF-PA-10004965,OH-Columbus-43229,Not,23.98,3,0.2,7.49
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Chuck Magee,OFF-EN-10002504,OH-Columbus-43229,Not,130.46,6,0.2,44.03
118,CA-2015-110457,2/3/2015,6/3/2015,Standard Class,DK-13090,Anna Andreadi,FUR-TA-10001768,WA-Seattle-98103,Not,787.53,3,0.0,165.38
119,US-2015-136476,5/4/2015,10/4/2015,Standard Class,GG-14650,Cassandra Brandow,OFF-BI-10003650,TN-Bristol-37620,Not,157.79,1,0.7,-115.72
120,CA-2016-103730,12/6/2016,12/6/2016,First Class,SC-20725,Chuck Magee,FUR-FU-10002157,DE-Wilmington-19805,Not,47.04,3,0.0,18.35
121,CA-2016-103730,12/6/2016,12/6/2016,First Class,SC-20725,Chuck Magee,OFF-BI-10003910,DE-Wilmington-19805,Not,30.84,4,0.0,13.88
122,CA-2016-103730,12/6/2016,12/6/2016,First Class,SC-20725,Chuck Magee,OFF-ST-10000777,DE-Wilmington-19805,Not,226.56,6,0.0,63.44
123,CA-2016-103730,12/6/2016,12/6/2016,First Class,SC-20725,Chuck Magee,OFF-EN-10002500,DE-Wilmington-19805,Not,115.02,9,0.0,51.76
124,CA-2016-103730,12/6/2016,12/6/2016,First Class,SC-20725,Chuck Magee,TEC-PH-10003875,DE-Wilmington-19805,Not,68.04,7,0.0,19.73
125,US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Kelly Williams,FUR-CH-10004063,TX-Houston-77041,Not,600.56,3,0.3,-8.58
126,US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,Kelly Williams,FUR-TA-10004534,IL-Bloomington-61701,Not,617.7,6,0.5,-407.68
127,US-2017-107272,5/11/2017,12/11/2017,Standard Class,TS-21610,Anna Andreadi,OFF-BI-10003274,AZ-Phoenix-85023,Not,2.39,2,0.7,-1.83
128,US-2017-107272,5/11/2017,12/11/2017,Standard Class,TS-21610,Anna Andreadi,OFF-ST-10002974,AZ-Phoenix-85023,Not,243.99,7,0.2,30.5
129,US-2016-125969,6/11/2016,10/11/2016,Second Class,LS-16975,Anna Andreadi,FUR-CH-10001146,CA-Los Angeles-90004,Not,81.42,2,0.2,-9.16
130,US-2016-125969,6/11/2016,10/11/2016,Second Class,LS-16975,Anna Andreadi,FUR-FU-10003773,CA-Los Angeles-90004,Not,238.56,3,0.0,26.24
131,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,Chuck Magee,TEC-PH-10002293,OH-Columbus-43229,Not,59.97,5,0.4,-11.99
132,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,Chuck Magee,OFF-PA-10002377,OH-Columbus-43229,Not,78.3,2,0.2,29.36
133,US-2017-164147,2/2/2017,5/2/2017,First Class,DW-13585,Chuck Magee,OFF-FA-10002780,OH-Columbus-43229,Not,21.46,9,0.2,6.97
134,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-PA-10001804,CA-Roseville-95661,Yes,20.04,3,0.0,9.62
135,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-PA-10001736,CA-Roseville-95661,Yes,35.44,1,0.0,16.66
136,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-AR-10001149,CA-Roseville-95661,Yes,11.52,4,0.0,3.46
137,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-FA-10002988,CA-Roseville-95661,Yes,4.02,2,0.0,1.97
138,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-BI-10004781,CA-Roseville-95661,Yes,76.18,3,0.2,26.66
139,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,OFF-SU-10001218,CA-Roseville-95661,Yes,65.88,6,0.0,18.45
140,CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Anna Andreadi,FUR-FU-10001706,CA-Roseville-95661,Yes,43.12,14,0.0,20.7
141,CA-2016-110366,5/9/2016,7/9/2016,Second Class,JD-15895,Chuck Magee,FUR-FU-10004848,PA-Philadelphia-19140,Not,82.8,2,0.2,10.35
142,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Anna Andreadi,OFF-AR-10000940,CA-San Francisco-94122,Not,8.82,3,0.0,2.38
143,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Anna Andreadi,OFF-EN-10004030,CA-San Francisco-94122,Not,10.86,3,0.0,5.1
144,CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Anna Andreadi,OFF-PA-10004327,CA-San Francisco-94122,Not,143.7,3,0.0,68.98
145,CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,Kelly Williams,OFF-AP-10001058,MO-Independence-64055,Not,839.43,3,0.0,218.25
146,CA-2015-110744,7/9/2015,12/9/2015,Standard Class,HA-14920,Anna Andreadi,OFF-ST-10003656,CA-Pasadena-91104,Not,671.93,7,0.0,20.16
147,CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,Chuck Magee,FUR-FU-10000521,OH-Newark-43055,Not,93.89,4,0.2,12.91
148,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,Kelly Williams,TEC-PH-10000215,WI-Franklin-53132,Not,384.45,11,0.0,103.8
149,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,Kelly Williams,TEC-PH-10001448,WI-Franklin-53132,Not,149.97,3,0.0,6.0
150,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,Kelly Williams,FUR-CH-10000454,WI-Franklin-53132,Not,1951.84,8,0.0,585.55
151,CA-2016-114489,5/12/2016,9/12/2016,Standard Class,JE-16165,Kelly Williams,OFF-BI-10002735,WI-Franklin-53132,Not,171.55,5,0.0,80.63
152,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,Anna Andreadi,OFF-AP-10000326,AZ-Scottsdale-85254,Not,157.92,5,0.2,17.77
153,CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,Anna Andreadi,TEC-PH-10001254,AZ-Scottsdale-85254,Not,203.18,2,0.2,15.24
154,CA-2015-124919,5/31/2015,5/31/2015,First Class,SP-20650,Anna Andreadi,OFF-PA-10001950,CA-San Jose-95123,Not,58.38,7,0.0,26.27
155,CA-2015-124919,5/31/2015,5/31/2015,First Class,SP-20650,Anna Andreadi,OFF-PA-10002254,CA-San Jose-95123,Not,105.52,4,0.0,48.54
156,CA-2015-124919,5/31/2015,5/31/2015,First Class,SP-20650,Anna Andreadi,OFF-ST-10001590,CA-San Jose-95123,Not,80.88,6,0.0,21.03
157,CA-2015-118948,5/28/2015,5/28/2015,Standard Class,NK-18490,Anna Andreadi,OFF-AR-10001547,WA-Seattle-98105,Not,6.63,3,0.0,1.79
158,CA-2014-104269,1/3/2014,6/3/2014,Second Class,DB-13060,Anna Andreadi,FUR-CH-10004063,WA-Seattle-98115,Not,457.57,2,0.2,51.48
159,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,Kelly Williams,OFF-LA-10002475,OK-Edmond-73034,Not,14.62,2,0.0,6.87
160,CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,Kelly Williams,TEC-PH-10004536,OK-Edmond-73034,Not,944.93,7,0.0,236.23
161,CA-2016-162733,11/5/2016,12/5/2016,First Class,TT-21070,Anna Andreadi,OFF-PA-10002751,CA-Los Angeles-90045,Not,5.98,1,0.0,2.69
162,CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,Chuck Magee,TEC-AC-10003657,PA-Philadelphia-19134,Not,54.38,2,0.2,1.36
163,CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,Anna Andreadi,OFF-EN-10001990,NM-Carlsbad-88220,Not,28.4,5,0.0,13.35
